cluster_id;cluster_topic;intent;keyword;frequency;target_page;priority
1;Интеграция Авито и amoCRM;коммерческий продуктовый;амо срм авито;105;страница виджета или SEO-статья;high
1;Интеграция Авито и amoCRM;коммерческий продуктовый;amocrm авито;67;страница виджета или SEO-статья;high
1;Интеграция Авито и amoCRM;коммерческий продуктовый;интеграция авито и amocrm;15;страница виджета или SEO-статья;high
1;Интеграция Авито и amoCRM;коммерческий продуктовый;интеграция авито и амо срм;18;страница виджета или SEO-статья;high
1;Интеграция Авито и amoCRM;коммерческий продуктовый;как подключить авито к амо срм;18;страница виджета или SEO-статья;high
1;Интеграция Авито и amoCRM;коммерческий продуктовый;amocrm интеграция с авито;н/д;страница виджета или SEO-статья;high
1;Интеграция Авито и amoCRM;коммерческий продуктовый;амо срм интеграция с авито;н/д;страница виджета или SEO-статья;high
1;Интеграция Авито и amoCRM;коммерческий продуктовый;интеграция амо срм и авито;н/д;страница виджета или SEO-статья;high
1;Интеграция Авито и amoCRM;коммерческий продуктовый;авито интеграция с амо срм;н/д;страница виджета или SEO-статья;high
2;CRM для Авито и обработка заявок;коммерческий выбор решения;crm для авито;45;SEO-статья;high
2;CRM для Авито и обработка заявок;коммерческий выбор решения;срм для авито;37;SEO-статья;high
2;CRM для Авито и обработка заявок;коммерческий выбор решения;авито crm интеграция;31;SEO-статья;high
2;CRM для Авито и обработка заявок;коммерческий выбор решения;интеграции авито с срм;31;SEO-статья;high
2;CRM для Авито и обработка заявок;коммерческий выбор решения;crm системы авито;14;SEO-статья;medium
2;CRM для Авито и обработка заявок;коммерческий выбор решения;авито срм система;14;SEO-статья;medium
3;Как получать заявки с Авито и не терять лиды;информационно-коммерческий;заявки с авито;260;SEO-статья;high
3;Как получать заявки с Авито и не терять лиды;информационно-коммерческий;как получать заявки с авито;10;SEO-статья;medium
3;Как получать заявки с Авито и не терять лиды;информационно-коммерческий;горячий лид на авито что это;241;SEO-статья;medium
3;Как получать заявки с Авито и не терять лиды;информационно-коммерческий;что такое лиды на авито;102;SEO-статья;medium
3;Как получать заявки с Авито и не терять лиды;информационно-коммерческий;лиды на авито что это;н/д;SEO-статья;medium
3;Как получать заявки с Авито и не терять лиды;информационно-коммерческий;перехват лидов авито;9;SEO-статья;low
4;Avito API для интеграции с CRM;технический коммерческий;api авито;878;техническая SEO-статья;high
4;Avito API для интеграции с CRM;технический коммерческий;api ключ авито;52;техническая SEO-статья;high
4;Avito API для интеграции с CRM;технический коммерческий;авито объявления api;45;техническая SEO-статья;medium
4;Avito API для интеграции с CRM;технический коммерческий;документация api авито;41;техническая SEO-статья;high
4;Avito API для интеграции с CRM;технический коммерческий;api интеграция авито;39;техническая SEO-статья;high
4;Avito API для интеграции с CRM;технический коммерческий;получить api авито как;33;техническая SEO-статья;medium
4;Avito API для интеграции с CRM;технический коммерческий;есть ли у авито api;17;техническая SEO-статья;medium
4;Avito API для интеграции с CRM;технический коммерческий;авито api документация;н/д;техническая SEO-статья;medium
5;Сообщения и мессенджер Авито в CRM;технический long-tail;api мессенджер авито тарифы;16;SEO-статья или блок FAQ;medium
5;Сообщения и мессенджер Авито в CRM;технический long-tail;messenger api авито;8;SEO-статья или блок FAQ;medium
5;Сообщения и мессенджер Авито в CRM;технический long-tail;api мессенджер авито что это;6;SEO-статья или блок FAQ;medium
5;Сообщения и мессенджер Авито в CRM;технический long-tail;что такое api мессенджер авито;н/д;SEO-статья или блок FAQ;medium
5;Сообщения и мессенджер Авито в CRM;технический long-tail;авито сообщения в срм;0;SEO-статья или блок FAQ;low
5;Сообщения и мессенджер Авито в CRM;технический long-tail;авито чат в crm;н/д;SEO-статья или блок FAQ;low
