cluster_id;cluster_topic;intent;keyword;frequency
1;Путь клиента: что это, этапы и роль в маркетинге;информационный общий;путь клиента;7419
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;карта пути клиента;1003
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;cjm карта;624
5;Путь клиента в бизнес-каналах, CRM, сервисе и B2B;прикладной отраслевой;путь клиента услуги;488
1;Путь клиента: что это, этапы и роль в маркетинге;информационный общий;этапы пути клиента;471
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;путь клиента cjm;365
1;Путь клиента: что это, этапы и роль в маркетинге;информационный общий;клиентский путь клиента;348
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;карта пути cjm;328
1;Путь клиента: что это, этапы и роль в маркетинге;информационный общий;жизненный путь клиента;261
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;карта клиента cjm;241
3;Как построить, описать и улучшить путь клиента;прикладная методика;анализ пути клиента;232
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;карта пути клиента cjm;212
3;Как построить, описать и улучшить путь клиента;прикладная методика;модель пути клиента;211
4;Путь клиента и воронка продаж;маркетинг и продажи;пути поиска клиентов;208
5;Путь клиента в бизнес-каналах, CRM, сервисе и B2B;прикладной отраслевой;путь клиента сервис;208
5;Путь клиента в бизнес-каналах, CRM, сервисе и B2B;прикладной отраслевой;путь клиента в компании;205
1;Путь клиента: что это, этапы и роль в маркетинге;информационный общий;метод путь клиента;198
4;Путь клиента и воронка продаж;маркетинг и продажи;пути решения проблемы клиента;198
3;Как построить, описать и улучшить путь клиента;прикладная методика;инструмент путь клиента;189
5;Путь клиента в бизнес-каналах, CRM, сервисе и B2B;прикладной отраслевой;путь клиента в маркетинге;183
1;Путь клиента: что это, этапы и роль в маркетинге;информационный общий;пройди путь клиента;182
3;Как построить, описать и улучшить путь клиента;прикладная методика;создание пути клиента;177
3;Как построить, описать и улучшить путь клиента;прикладная методика;разработка пути клиента;169
4;Путь клиента и воронка продаж;маркетинг и продажи;путь клиента в продажах;166
4;Путь клиента и воронка продаж;маркетинг и продажи;путь клиента до покупки;166
4;Путь клиента и воронка продаж;маркетинг и продажи;воронка пути клиента;154
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;путь клиента customer journey;153
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;путь клиента психолога;145
4;Путь клиента и воронка продаж;маркетинг и продажи;пути привлечения клиентов;137
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;путь клиента customer journey map;120
3;Как построить, описать и улучшить путь клиента;прикладная методика;создать путь клиента;117
5;Путь клиента в бизнес-каналах, CRM, сервисе и B2B;прикладной отраслевой;путь клиента на сайте;116
1;Путь клиента: что это, этапы и роль в маркетинге;информационный общий;как называется путь клиента;114
4;Путь клиента и воронка продаж;маркетинг и продажи;воронка продаж путь клиента;109
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;карта пути клиента этапы;105
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;визуализация пути клиента;104
1;Путь клиента: что это, этапы и роль в маркетинге;информационный общий;путь к цели путь к клиенту;102
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;путь клиента примеры;94
4;Путь клиента и воронка продаж;маркетинг и продажи;путь потенциального клиента;93
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;карта пути клиента customer journey map;88
3;Как построить, описать и улучшить путь клиента;прикладная методика;путь клиента составить;88
3;Как построить, описать и улучшить путь клиента;прикладная методика;улучшение пути клиента;87
3;Как построить, описать и улучшить путь клиента;прикладная методика;полный путь клиента;84
5;Путь клиента в бизнес-каналах, CRM, сервисе и B2B;прикладной отраслевой;цифровой путь клиента;84
3;Как построить, описать и улучшить путь клиента;прикладная методика;путь клиента схема;81
1;Путь клиента: что это, этапы и роль в маркетинге;информационный общий;путь клиента определение;80
4;Путь клиента и воронка продаж;маркетинг и продажи;путь продукта до клиента;80
3;Как построить, описать и улучшить путь клиента;прикладная методика;описание путь клиента;76
3;Как построить, описать и улучшить путь клиента;прикладная методика;построение пути клиента;71
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;карта клиентского пути cjm;70
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;карта cjm пример;68
5;Путь клиента в бизнес-каналах, CRM, сервисе и B2B;прикладной отраслевой;путь клиента в рекламе;68
1;Путь клиента: что это, этапы и роль в маркетинге;информационный общий;бесшовный путь клиента;66
5;Путь клиента в бизнес-каналах, CRM, сервисе и B2B;прикладной отраслевой;crm путь клиента;60
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;путь клиента онлайн;58
5;Путь клиента в бизнес-каналах, CRM, сервисе и B2B;прикладной отраслевой;путь клиента в приложении;57
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;карта пути пользователя cjm;54
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;игра путь клиента;53
1;Путь клиента: что это, этапы и роль в маркетинге;информационный общий;путь к вашим клиентам;50
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;путь клиента калбах;47
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;путь клиента книга;46
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;путь клиента шаблон;46
3;Как построить, описать и улучшить путь клиента;прикладная методика;создание карты пути клиента;46
5;Путь клиента в бизнес-каналах, CRM, сервисе и B2B;прикладной отраслевой;путь клиента в магазине;42
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;путь клиента джим калбах;42
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;путь клиента рф;40
3;Как построить, описать и улучшить путь клиента;прикладная методика;настройка пути клиента;39
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;путь клиенту отзывы;36
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;путь клиента скачать;35
3;Как построить, описать и улучшить путь клиента;прикладная методика;путь клиента график;34
3;Как построить, описать и улучшить путь клиента;прикладная методика;создать карту пути клиента;34
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;карта пути клиента шаблон;33
3;Как построить, описать и улучшить путь клиента;прикладная методика;путь клиента таблица;31
4;Путь клиента и воронка продаж;маркетинг и продажи;товары в пути от клиента;31
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;карта пути клиента пример;29
4;Путь клиента и воронка продаж;маркетинг и продажи;в пути отказ клиента;27
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;богатый клиент находит путь ко мне;26
1;Путь клиента: что это, этапы и роль в маркетинге;информационный общий;пользовательский путь клиента;26
3;Как построить, описать и улучшить путь клиента;прикладная методика;как сделать путь клиента;25
3;Как построить, описать и улучшить путь клиента;прикладная методика;моделирование пути клиента;25
1;Путь клиента: что это, этапы и роль в маркетинге;информационный общий;путь клиента 2025;25
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;путь к сердцу клиента;24
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;путь клиента презентация;23
5;Путь клиента в бизнес-каналах, CRM, сервисе и B2B;прикладной отраслевой;путь клиента b2b;23
3;Как построить, описать и улучшить путь клиента;прикладная методика;как прописать путь клиента;22
1;Путь клиента: что это, этапы и роль в маркетинге;информационный общий;cgm путь клиента;22
3;Как построить, описать и улучшить путь клиента;прикладная методика;путь клиента методика;21
3;Как построить, описать и улучшить путь клиента;прикладная методика;путь клиента создаем ценность продуктов;21
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;карта путешествия клиента cjm;20
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;став богатый клиент находит путь ко мне;18
1;Путь клиента: что это, этапы и роль в маркетинге;информационный общий;для чего нужен путь клиента;16
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;навязывание вип клиент путем шантажа;16
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;путь клиента картинка;15
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;путь клиента в поиске работы;14
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;карта пути клиента онлайн;12
3;Как построить, описать и улучшить путь клиента;прикладная методика;путь клиента как построить;12
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;путь клиента фото;12
3;Как построить, описать и улучшить путь клиента;прикладная методика;как выглядит путь клиента;11
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;путь клиента инфографика;11
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;путь клиента сво цзн;11
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;cjm карта шаблоны;11
5;Путь клиента в бизнес-каналах, CRM, сервисе и B2B;прикладной отраслевой;путь клиента в личном кабинете;9
2;CJM и карта пути клиента: примеры, шаблоны, визуализация;информационно-прикладной;карта cjm онлайн;7
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;путь клиента на английском;7
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;сибирское здоровье путь к множеству клиентов;7
3;Как построить, описать и улучшить путь клиента;прикладная методика;построение карты пути клиента что это;6
6;Минус-темы и запросы на ручную проверку;нерелевантное / низкий приоритет;примеры cjm карт в туризме;5
