cluster_id;cluster_topic;intent;keyword;frequency
"1";"Удержание клиентов: что это и зачем бизнесу";"информационный общий";"удержание клиентов";"н/д"
"1";"Удержание клиентов: что это и зачем бизнесу";"информационный общий";"удержание клиента";"н/д"
"1";"Удержание клиентов: что это и зачем бизнесу";"информационный общий";"что такое удержание клиентов";"н/д"
"1";"Удержание клиентов: что это и зачем бизнесу";"информационный общий";"удержание клиентов это";"н/д"
"1";"Удержание клиентов: что это и зачем бизнесу";"информационный общий";"удержание клиентов в бизнесе";"н/д"
"1";"Удержание клиентов: что это и зачем бизнесу";"информационный общий";"удержание клиентов в продажах";"н/д"
"1";"Удержание клиентов: что это и зачем бизнесу";"информационный общий";"повторные продажи";"н/д"
"1";"Удержание клиентов: что это и зачем бизнесу";"информационный общий";"работа с постоянными клиентами";"н/д"
"2";"Стратегии и методы удержания клиентов";"прикладной";"как удержать клиентов";"н/д"
"2";"Стратегии и методы удержания клиентов";"прикладной";"как удерживать клиентов";"н/д"
"2";"Стратегии и методы удержания клиентов";"прикладной";"как повысить удержание клиентов";"н/д"
"2";"Стратегии и методы удержания клиентов";"прикладной";"стратегии удержания клиентов";"н/д"
"2";"Стратегии и методы удержания клиентов";"прикладной";"методы удержания клиентов";"н/д"
"2";"Стратегии и методы удержания клиентов";"прикладной";"способы удержания клиентов";"н/д"
"2";"Стратегии и методы удержания клиентов";"прикладной";"удержание постоянных клиентов";"н/д"
"2";"Стратегии и методы удержания клиентов";"прикладной";"коммуникации с клиентами после покупки";"н/д"
"3";"CRM и автоматизация удержания клиентов";"коммерческо-прикладной";"удержание клиентов в crm";"н/д"
"3";"CRM и автоматизация удержания клиентов";"коммерческо-прикладной";"crm для удержания клиентов";"н/д"
"3";"CRM и автоматизация удержания клиентов";"коммерческо-прикладной";"crm удержание клиентов";"н/д"
"3";"CRM и автоматизация удержания клиентов";"коммерческо-прикладной";"автоматизация удержания клиентов";"н/д"
"3";"CRM и автоматизация удержания клиентов";"коммерческо-прикладной";"автоматизация повторных продаж";"н/д"
"3";"CRM и автоматизация удержания клиентов";"коммерческо-прикладной";"воронка удержания клиентов";"н/д"
"3";"CRM и автоматизация удержания клиентов";"коммерческо-прикладной";"воронка повторных продаж";"н/д"
"3";"CRM и автоматизация удержания клиентов";"коммерческо-прикладной";"напоминания клиентам crm";"н/д"
"3";"CRM и автоматизация удержания клиентов";"коммерческо-прикладной";"задачи менеджерам по клиентам";"н/д"
"4";"Метрики удержания, отток и реактивация базы";"аналитический";"анализ удержания клиентов";"н/д"
"4";"Метрики удержания, отток и реактивация базы";"аналитический";"показатель удержания клиентов";"н/д"
"4";"Метрики удержания, отток и реактивация базы";"аналитический";"коэффициент удержания клиентов";"н/д"
"4";"Метрики удержания, отток и реактивация базы";"аналитический";"retention rate";"н/д"
"4";"Метрики удержания, отток и реактивация базы";"аналитический";"customer retention";"н/д"
"4";"Метрики удержания, отток и реактивация базы";"аналитический";"churn rate";"н/д"
"4";"Метрики удержания, отток и реактивация базы";"аналитический";"отток клиентов";"н/д"
"4";"Метрики удержания, отток и реактивация базы";"аналитический";"снижение оттока клиентов";"н/д"
"4";"Метрики удержания, отток и реактивация базы";"аналитический";"причины оттока клиентов";"н/д"
"4";"Метрики удержания, отток и реактивация базы";"аналитический";"как вернуть ушедших клиентов";"н/д"
"4";"Метрики удержания, отток и реактивация базы";"аналитический";"реактивация клиентов";"н/д"
"4";"Метрики удержания, отток и реактивация базы";"аналитический";"реактивация клиентской базы";"н/д"
"5";"Лояльность, сервис и клиентский опыт";"информационно-прикладной";"лояльность клиентов";"н/д"
"5";"Лояльность, сервис и клиентский опыт";"информационно-прикладной";"повышение лояльности клиентов";"н/д"
"5";"Лояльность, сервис и клиентский опыт";"информационно-прикладной";"программа лояльности клиентов";"н/д"
"5";"Лояльность, сервис и клиентский опыт";"информационно-прикладной";"клиентская лояльность";"н/д"
"5";"Лояльность, сервис и клиентский опыт";"информационно-прикладной";"сервис после продажи";"н/д"
"5";"Лояльность, сервис и клиентский опыт";"информационно-прикладной";"послепродажное обслуживание клиентов";"н/д"
"5";"Лояльность, сервис и клиентский опыт";"информационно-прикладной";"клиентский сервис и удержание";"н/д"
"5";"Лояльность, сервис и клиентский опыт";"информационно-прикладной";"опыт клиента";"н/д"
"5";"Лояльность, сервис и клиентский опыт";"информационно-прикладной";"customer experience";"н/д"
"6";"AI, аналитика коммуникаций и рекомендации менеджерам";"прикладной технологический";"ai для удержания клиентов";"н/д"
"6";"AI, аналитика коммуникаций и рекомендации менеджерам";"прикладной технологический";"ии для удержания клиентов";"н/д"
"6";"AI, аналитика коммуникаций и рекомендации менеджерам";"прикладной технологический";"ai-роп удержание клиентов";"н/д"
"6";"AI, аналитика коммуникаций и рекомендации менеджерам";"прикладной технологический";"анализ звонков клиентов";"н/д"
"6";"AI, аналитика коммуникаций и рекомендации менеджерам";"прикладной технологический";"анализ переписок клиентов";"н/д"
"6";"AI, аналитика коммуникаций и рекомендации менеджерам";"прикладной технологический";"рекомендации менеджерам по клиентам";"н/д"
"7";"Удержание клиентов по сегментам и сценариям бизнеса";"прикладной отраслевой";"удержание b2b клиентов";"н/д"
"7";"Удержание клиентов по сегментам и сценариям бизнеса";"прикладной отраслевой";"удержание клиентов в услугах";"н/д"
"7";"Удержание клиентов по сегментам и сценариям бизнеса";"прикладной отраслевой";"удержание клиентов интернет магазина";"н/д"
"7";"Удержание клиентов по сегментам и сценариям бизнеса";"прикладной отраслевой";"удержание клиентов в онлайн бизнесе";"н/д"
"7";"Удержание клиентов по сегментам и сценариям бизнеса";"прикладной отраслевой";"сегментация клиентов";"н/д"
"7";"Удержание клиентов по сегментам и сценариям бизнеса";"прикладной отраслевой";"сегментация клиентской базы";"н/д"
"7";"Удержание клиентов по сегментам и сценариям бизнеса";"прикладной отраслевой";"анализ клиентской базы";"н/д"
